SF,LREE,HREE,LREE_Concn,HREE_Concn,chelant,CA_ratio,Eu_ratio,Voltage,Initial_volume,Test_duration
18.7,La,Eu,825,825,HEDTA,1,1,10,1300,180
2,La,Eu,825,14,EDTA,1,1,10,1300,300
9.9,La,Eu,825,14,CDTA,2,1,10,1300,300
0.1,La,Eu,825,14,HEDTA,1,1,10,1300,240
22.1,La,Eu,825,14,HEDTA ,2,1,10,1300,240
3.1,La,Eu,825,14,CDTA,0.5,1,10,1255,240
4.6,La,Eu,825,14,CDTA,1,1,10,1300,240
5.6,La,Eu,825,14,CDTA,2,1,10,1300,180
1.5,La,Eu,825,14,None,0,1,10,1300,240
2.1,La,Eu,825,14,EDTA,1,1,10,1300,240
7.3,La,Eu,825,14,HEDTA,0.5,1,10,1300,240
2.5,La,Eu,825,825,EDTA,2,1,10,1300,300
3.3,La,Eu,825,825,DTPA,1,1,10,1300,450
0.4,La,Eu,825,14,None,0,1,10,1300,240
25.9,La,Eu,825,825,HEDTA,1,1,10,1300,180
41.9,La,Eu,825,825,HEDTA,1,1,10,1300,240
23.4,La,Eu,825,825,HEDTA,1,1,10,1300,240
37.27,La,Eu,825,825,HEDTA,1,1,10,1300,240
27.9,La,Eu,825,825,HEDTA,1,1,10,1300,240
2,La,Eu,825,14,EDTA,1,1,10,1300,30
5.4,La,Eu,825,14,CDTA,2,1,10,1300,90
2.7,La,Eu,825,14,CDTA,2,1,10,1300,30
4.9,La,Eu,825,825,NTA,1,1,10,1300,360
32.2,La,Eu,825,825,HEDTA,1,1,10,1300,270
7.1,La,Eu,825,825,CDTA,0.5,1,10,1300,300
1.3,La,Eu,825,825,CDTA,0.5,1,10,1200,120
2,La,Eu,825,825,EDTA,2,1,10,1300,30
3.1,La,Eu,825,825,EDTA,2,1,10,1300,60
3.6,La,Eu,825,825,EDTA,2,1,10,1300,90
4.1,La,Eu,825,825,EDTA,2,1,10,1300,120
4.1,La,Eu,825,825,EDTA,2,1,10,1300,180
4.2,La,Eu,825,825,EDTA,2,1,10,1300,240
43.4,La,Eu,825,825,HEDTA,1,1,10,1300,300
44.4,La,Eu,825,825,HEDTA,1,1,10,1300,300
23.1,La,Eu,825,825,HEDTA,1,1,10,1300,300
24.2,La,Eu,825,825,HEDTA,1,1,10,1300,360
1.3,La,Eu,825,825,CDTA,2,1,10,900,240
27.6,La,Eu,825,825,CDTA,2,1,10,1200,240
11.8,La,Eu,825,825,CDTA,2,1,10,1300,300
1.2,La,Eu,825,825,CDTA,2,1,10,900,300
30.4,La,Eu,825,825,CDTA,2,1,10,1200,300
33.6,La,Eu,825,825,CDTA,2,1,10,1200,360
9.5,La,Eu,825,825,CDTA,2,1,10,1300,360
12.1,La,Eu,825,825,CDTA,2,1,10,1300,360
